time,B
1.6721326252767211e-06,19.98999999999999
3.345994747571563e-06,19.979994969818904
5.021589050007001e-06,19.969989939637816
6.698918221253216e-06,19.959984909456733
8.377984955547268e-06,19.949979879275645
1.0058791952702589e-05,19.939974849094558
1.1741341918128245e-05,19.92996981891347
1.3425637562838755e-05,19.919964788732386
1.5111681603473266e-05,19.9099597585513
1.6799476762305995e-05,19.89995472837021
1.8489025767262678e-05,19.889949698189124
2.0180331351937018e-05,19.87994466800804
2.187339625560113e-05,19.869939637826953
2.3568223223225174e-05,19.859934607645865
2.526481500548734e-05,19.849929577464778
2.696317435879345e-05,19.839924547283694
2.8663304045287177e-05,19.829919517102606
3.0365206832869633e-05,19.81991448692152
3.2068885495210284e-05,19.809909456740435
3.377434281176372e-05,19.799904426559348
3.5481581567786565e-05,19.78989939637826
3.719060455434835e-05,19.779894366197173
3.890141456835162e-05,19.76988933601609
4.0614014412542273e-05,19.759884305835
4.232840689552956e-05,19.749879275653914
4.40445948317967e-05,19.739874245472826
4.576258104172109e-05,19.729869215291743
4.7482368351585443e-05,19.719864185110655
4.9203959593595085e-05,19.709859154929568
5.092735760589525e-05,19.69985412474848
5.2652565232582415e-05,19.689849094567396
5.437958532372481e-05,19.67984406438631
5.610842073537324e-05,19.66983903420522
5.7839074329581565e-05,19.659834004024134
5.957154897441819e-05,19.64982897384305
6.13058475439838e-05,19.639823943661963
6.304197291842904e-05,19.629818913480875
6.477992798396613e-05,19.61981388329979
6.651971563288962e-05,19.609808853118704
6.826133876358762e-05,19.599803822937616
7.000480028056281e-05,19.58979879275653
7.175010309444347e-05,19.579793762575445
7.349725012200463e-05,19.569788732394358
7.524624428618007e-05,19.55978370221327
7.699708851608039e-05,19.549778672032183
7.874978574701108e-05,19.5397736418511
8.050433892048461e-05,19.52976861167001
8.226075098424193e-05,19.519763581488924
8.401902489226377e-05,19.509758551307836
8.577916360479233e-05,19.499753521126753
8.754117008834275e-05,19.489748490945665
8.930504731572476e-05,19.479743460764578
9.107079826605496e-05,19.46973843058349
9.283842592477552e-05,19.459733400402406
9.460793328367281e-05,19.44972837022132
9.63793233408898e-05,19.43972334004023
9.815259910094812e-05,19.429718309859147
9.992776357475978e-05,19.41971327967806
0.00010170481977964932,19.409708249496973
0.00010348377073936586,19.399703219315885
0.0001052646194841052,19.3896981891348
0.00010704736905052262,19.379693158953714
0.00010883202248175195,19.369688128772626
0.0001106185828274247,19.35968309859154
0.00011240705314368305,19.349678068410455
0.00011419743649320232,19.339673038229368
0.00011598973594520329,19.32966800804828
0.00011778395457547477,19.319662977867193
0.00011958009546638671,19.30965794768611
0.0001213781617069098,19.29965291750502
0.000123178156392635,19.289647887323934
0.0001249800826257867,19.279642857142846
0.00012678394351524575,19.269637826961763
0.0001285897421765621,19.259632796780675
0.0001303974817319779,19.249627766599588
0.00013220716531044037,19.239622736418504
0.00013401879604762473,19.229617706237416
0.00013583237708594787,19.21961267605633
0.0001376479115745886,19.20960764587524
0.0001394654026695075,19.199602615694157
0.00014128485353346077,19.18959758551307
0.0001431062673360237,19.179592555331983
0.00014492964725360393,19.169587525150895
0.00014675499646946494,19.15958249496981
0.00014858231817373938,19.149577464788724
0.00015041161556345276,19.139572434607636
0.00015224289184253764,19.12956740442655
0.00015407615022185422,19.119562374245465
0.00015591139391921081,19.109557344064378
0.00015774862615937832,19.09955231388329
0.00015958785017411412,19.089547283702203
0.00016142906920217585,19.07954225352112
0.00016327228648934568,19.06953722334003
0.00016511750528844392,19.059532193158944
0.00016696472885935343,19.04952716297786
0.0001688139604690342,19.039522132796773
0.00017066520339154454,19.029517102615685
0.00017251846090806232,19.019512072434598
0.00017437373630689967,19.009507042253514
0.00017623103288352777,18.999502012072426
0.00017809035394059094,18.98949698189134
0.00017995170278793145,18.97949195171025
0.00018181508274260386,18.969486921529167
0.00018368049712890006,18.95948189134808
0.00018554794927836416,18.949476861166993
0.00018741744252981436,18.939471830985905
0.00018928898022936485,18.92946680080482
0.00019116256573044107,18.919461770623734
0.00019303820239380493,18.909456740442646
0.00019491589358756957,18.89945171026156
0.0001967956426872249,18.889446680080475
0.00019867745307565303,18.879441649899388
0.00020056132814315046,18.8694366197183
0.00020244727128745045,18.859431589537216
0.00020433528591373883,18.84942655935613
0.00020622537543467964,18.83942152917504
0.0002081175432704303,18.829416498993954
0.00021001179284866773,18.81941146881287
0.0002119081276046034,18.809406438631783
0.0002138065509810096,18.799401408450695
0.0002157070664282354,18.789396378269608
0.0002176096774042296,18.779391348088524
0.00021951438737456363,18.769386317907436
0.00022142119981244786,18.75938128772635
0.0002233301181987581,18.74937625754526
0.0002252411460220512,18.739371227364177
0.00022715428677859176,18.72936619718309
0.00022906954397236795,18.719361167002003
0.00023098692111511832,18.709356136820915
0.0002329064217263484,18.69935110663983
0.00023482804933335432,18.689346076458744
0.00023675180747124622,18.679341046277656
0.00023867769968296534,18.669336016096572
0.00024060572951931108,18.659330985915485
0.0002425359005389572,18.649325955734398
0.0002444682163084794,18.63932092555331
0.00024640268040237133,18.629315895372226
0.0002483392964030726,18.61931086519114
0.00025027806790098555,18.60930583501005
0.0002522189984944998,18.599300804828964
0.00025416209179001645,18.58929577464788
0.0002561073514019653,18.579290744466793
0.0002580547809528329,18.569285714285705
0.00026000438407317955,18.559280684104618
0.0002619561644016674,18.549275653923534
0.00026391012558507794,18.539270623742446
0.0002658662712783366,18.52926559356136
0.0002678246051445382,18.51926056338027
0.00026978513085496427,18.509255533199187
0.0002717478520891118,18.4992505030181
0.00027371277253471064,18.489245472837013
