B,d1,d2,d3,d4,d5,d6
0.49500000000000033,0.3910478406577198,0.7912967780589426,0.7999239550667134,1.1832155969589984,1.1875378605455058,1.1915244598284787
0.49600000000000033,0.3927037715824522,0.7931090210040814,0.8010572294953615,1.184986963638238,1.1893256927069196,1.1929223893836767
0.49700000000000033,0.3943790031947412,0.7949234643137579,0.8022178505379429,1.186700155915215,1.191137089566654,1.194389848066658
0.49800000000000033,0.3960733651166457,0.7967373340745514,0.8034083818674169,1.1883662784031745,1.1929321307999743,1.1959554248157538
0.49900000000000033,0.39778668660848204,0.7985469505017573,0.8046322926091989,1.1899974691956174,1.1946681462375857,1.1976494242113542
0.5000000000000003,0.3995187966571585,0.8003474445502352,0.8058942408235517,1.1916046161474778,1.1963190983159642,1.1994867678514272
0.5010000000000003,0.4012695240620108,0.8021324806562955,0.8072003508547283,1.1931964718679584,1.1978877816881415,1.2014556798526836
0.5020000000000003,0.4030386975178626,0.8038941430907034,0.8085583270659349,1.1947796634185792,1.1993954317153328,1.2035280687624077
0.5030000000000003,0.4048261456954201,0.8056233050336505,0.8099770848496242,1.1963590556192756,1.2008648103725328,1.20567607844559
0.5040000000000003,0.4066316973189714,0.8073108959712929,0.811465483313512,1.197938165737746,1.2023129121859295,1.207878967553814
0.5050000000000003,0.40845518124149116,0.8089501675562794,0.8130300594998676,1.1995195154201355,1.2037509293454285,1.2101227925750724
0.5060000000000003,0.4102964265169362,0.8105391086056066,0.814672613464559,1.2011048974132894,1.205186025180831,1.2123983677249957
0.5070000000000003,0.4121552624699909,0.8120813940214333,0.816389259430597,1.2026955674221327,1.2066228507792154,1.214699556559081
0.5080000000000003,0.41403151876319555,0.8135850728369185,0.8181717378139304,1.2042923785109156,1.2080645318132692,1.2170221508272192
0.5090000000000003,0.4159250254613589,0.8150600140060416,0.8200099695023688,1.2058958737327696,1.2095132672053825,1.2193631792608564
0.5100000000000003,0.4178356130935814,0.8165157160528977,0.8218942462727572,1.2075063489964126,1.21097069036127,1.221720483551099
0.5110000000000003,0.4197631127124186,0.8179601878757214,0.8238163500503042,1.2091238948298617,1.212438091847842,1.2240924539820792
0.5120000000000003,0.4217073559509288,0.8193997029543318,0.8257697987623427,1.2107484232318377,1.2139165613883414,1.2264778606570559
0.5130000000000003,0.42366817507692467,0.820838989425555,0.8277496563213234,1.2123796842113617,1.215407081913357,1.2288757429773156
0.5140000000000003,0.42564540304485554,0.822281548334761,0.8297522144291012,1.2140172757895122,1.2169105938145002,1.2312853354532542
0.5150000000000003,0.427638873545483,0.8237299574562105,0.8317746888103184,1.215660651061862,1.21842803891297,1.2337060167378517
0.5160000000000003,0.42964842105294565,0.8251861162328016,0.8338149743234666,1.2173091262799574,1.2199603882038268,1.2361372738618268
0.5170000000000003,0.4316738808696261,0.8266514295255174,0.8358714612602487,1.2189618946153402,1.2215086537373772,1.2385786766470854
0.5180000000000003,0.4337150891688477,0.8281269411197538,0.8379429018855351,1.2206180509098665,1.2230738825533098,1.2410298590781412
0.5190000000000003,0.4357718830352244,0.8296134295526087,0.8400283146541145,1.2222766325532017,1.224657129636368,1.243490505522466
0.5200000000000004,0.43784410050289857,0.831111476787342,0.8421269155781061,1.2239366796176228,1.226259408173581,1.245960340389324
0.5210000000000004,0.4399315805917592,0.8326215176407086,0.844238068839255,1.225597312635509,1.2278816196883593,1.2484391202666991
0.5220000000000004,0.4420341633414271,0.8341438756263759,0.8463612509829392,1.2272578191884165,1.2295244735484037,1.2509266278701574
0.5230000000000004,0.4441516898434301,0.8356787891893411,0.8484960247193438,1.2289177332202712,1.2311884124042667,1.2534226673350073
0.5240000000000004,0.4462840022713106,0.8372264311013886,0.8506420195613593,1.230576887974646,1.2328735629933867,1.2559270605161235
0.5250000000000004,0.4484309439088836,0.838786922949522,0.852798917367549,1.2322354281781909,1.2345797269309458,1.258439644052821
0.5260000000000004,0.450592359176623,0.8403603460708968,0.8549664414369058,1.23389377876142,1.2363064143744857,1.2609602670204563
0.5270000000000004,0.4527680936563332,0.8419467498889404,0.8571443482002898,1.235552580395261,1.2380529104160978,1.2634887890363515
0.5280000000000004,0.45495799411397364,0.8435461583303816,0.8593324208293236,1.237212609856611,1.23981835628849,1.2660250787208387
0.5290000000000004,0.4571619085210141,0.845158574811121,0.8615304642748747,1.2388747030247824,1.2416018276584975,1.2685690124382987
0.5300000000000004,0.45937968607386637,0.8467839861442492,0.8637383013811721,1.2405396923860987,1.2434023981878024,1.2711204732601615
0.5310000000000004,0.4616111772120153,0.8484223656294567,0.8659557698174787,1.2422083635953296,1.2452191838574986,1.2736793501060326
0.5320000000000004,0.4638562336345604,0.8500736755146132,0.8681827196356942,1.2438814300839027,1.2470513691006264,1.2762455370278403
0.5330000000000004,0.46611470831519597,0.8517378689719379,0.8704190113118617,1.2455595218866016,1.248898218598372,1.2788189326101804
0.5340000000000004,0.4683864555158852,0.8534148916959925,0.8726645141645051,1.247243184235975,1.2507590792121768,1.281399439465325
0.5350000000000004,0.4706713307991812,0.8551046832044058,0.8749191050686829,1.24893288206108,1.2526333759321595,1.283986963805873
0.5360000000000004,0.4729691910391338,0.8568071779035051,0.8771826674037833,1.2506290075283975,1.2545206047177135,1.2865814150813826
0.5370000000000004,0.47527989443110386,0.8585223059666642,0.8794550901874221,1.2523318887295858,1.2564203241368883,1.2891827056681553
0.5380000000000004,0.4776033005001654,0.8602499940621602,0.8817362673582618,1.254041798378399,1.2583321469505364,1.2917907506029689
0.5390000000000004,0.4799392701085523,0.8619901659599591,0.8840260971791203,1.2557589619070164,1.2602557322592443,1.294405467354018
0.5400000000000004,0.4822876654618202,0.8637427430396691,0.8863244817372369,1.2574835646872007,1.2621907784925117,1.297026775622541
0.5410000000000004,0.4846483501140497,0.8655076447181784,0.8886313265241537,1.2592157583014796,1.2641370173208415,1.2996545971707985
0.5420000000000004,0.4870211889719904,0.867284788811066,0.8909465400804795,1.260955665896736,1.2660942084618085,1.3022888556720922
0.5430000000000004,0.48940604829817325,0.8690740918393747,0.8932700336943125,1.2627033867050947,1.2680621352988073,1.3049294765795043
0.5440000000000004,0.49180279571323027,0.8708754692911267,0.8956017211440486,1.2644589998361955,1.270040601211523,1.3075763870107995
0.5450000000000004,0.4942113001971258,0.8726888358449738,0.8979415184779551,1.2662225674458618,1.272029426514715,1.3102295156468173
