time,B
2.569285338177515e-07,49.989999999999974
5.139612675018237e-07,49.97999799518843
7.710982644471749e-07,49.96999599037688
1.028339588100381e-06,49.95999398556533
1.2856853019589632e-06,49.949991980753786
1.5431354695725205e-06,49.93998997594224
1.800690154542239e-06,49.92998797113069
2.0583494205203865e-06,49.91998596631914
2.3161133312114846e-06,49.90998396150759
2.5739819503716207e-06,49.899981956696045
2.8319553418088507e-06,49.8899799518845
3.0900335693825304e-06,49.87997794707295
3.3482166970044726e-06,49.869975942261405
3.6065047886382623e-06,49.85997393744986
3.864897908299678e-06,49.849971932638304
4.123396120056008e-06,49.83996992782676
4.381999488027203e-06,49.82996792301521
4.640708076385382e-06,49.819965918203664
4.899521949354333e-06,49.80996391339212
5.158441171210662e-06,49.79996190858057
5.417465806283128e-06,49.789959903769024
5.676595918953054e-06,49.77995789895748
5.93583157365363e-06,49.76995589414592
6.195172834871094e-06,49.759953889334376
6.454619767144233e-06,49.74995188452283
6.714172435063862e-06,49.73994987971128
6.973830903273997e-06,49.729947874899736
7.233595236471175e-06,49.71994587008819
7.493465499404864e-06,49.70994386527664
7.753441756876791e-06,49.699941860465096
8.013524073742098e-06,49.68993985565354
8.27371251490885e-06,49.679937850841995
8.534007145337522e-06,49.66993584603045
8.794408030042162e-06,49.6599338412189
9.054915234089713e-06,49.649931836407355
9.315528822600439e-06,49.63992983159581
9.576248860747232e-06,49.62992782678426
9.837075413756781e-06,49.61992582197271
1.0098008546908885e-05,49.60992381716116
1.0359048325536876e-05,49.59992181234961
1.0620194815026937e-05,49.58991980753807
1.0881448080819271e-05,49.57991780272652
1.1142808188407583e-05,49.56991579791497
1.140427520333859e-05,49.559913793103426
1.1665849191213195e-05,49.54991178829188
1.1927530217685783e-05,49.539909783480326
1.218931834846467e-05,49.52990777866878
1.2451213649311397e-05,49.51990577385723
1.2713216186041904e-05,49.509903769045685
1.2975326024526024e-05,49.49990176423414
1.3237543230686991e-05,49.48989975942259
1.3499867870502601e-05,49.479897754611045
1.3762300010004525e-05,49.4698957497995
1.4024839715278746e-05,49.459893744987944
1.4287487052464863e-05,49.4498917401764
1.455024208775725e-05,49.43988973536485
1.481310488740458e-05,49.429887730553304
